"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1864","Adding random items to cart","Parallel Testing Suite","Tue Oct 15 19:10:30 EEST 2024","passed","Tue Oct 15 19:10:32 EEST 2024","Tests.Inventory_AddingRandomItemsToCartTest","Inventory Page Tests","Tests.Inventory_AddingRandomItemsToCartTest","addRandomItems"
"","3828","Verify deleting all items in cart after resetting app state","Parallel Testing Suite","Tue Oct 15 19:10:28 EEST 2024","failed","Tue Oct 15 19:10:32 EEST 2024","Tests.Cart_CheckIfResetAppStateClearAllItemsTest","Cart Page Tests","Tests.Cart_CheckIfResetAppStateClearAllItemsTest","checkIfResetAppStateClearAllItems"
"","987","enterValidCheckoutData","Parallel Testing Suite","Tue Oct 15 19:10:58 EEST 2024","passed","Tue Oct 15 19:10:59 EEST 2024","Tests.Checkout_ValidCheckoutData","Checkout Page Tests","Tests.Checkout_ValidCheckoutData","enterValidCheckoutData"
"","1131","login with valid account","Parallel Testing Suite","Tue Oct 15 19:10:20 EEST 2024","passed","Tue Oct 15 19:10:21 EEST 2024","Tests.Login_ValidLoginTest","Login Page Tests","Tests.Login_ValidLoginTest","ValidLogin"
"","3481","checkTotalPriceInEmptyCart","Parallel Testing Suite","Tue Oct 15 19:10:37 EEST 2024","passed","Tue Oct 15 19:10:41 EEST 2024","Tests.Overview_CheckTotalInEmptyCart","Overview Page Tests","Tests.Overview_CheckTotalInEmptyCart","checkTotalPriceInEmptyCart"
"","2052","fillingFieldsWithSpacesOnly","Parallel Testing Suite","Tue Oct 15 19:10:49 EEST 2024","failed","Tue Oct 15 19:10:51 EEST 2024","Tests.Checkout_InvalidFieldsUsingSpacesOnly","Checkout Page Tests","Tests.Checkout_InvalidFieldsUsingSpacesOnly","fillingFieldsWithSpacesOnly"
"","4619","completeE2ETest","Parallel Testing Suite","Tue Oct 15 19:10:47 EEST 2024","passed","Tue Oct 15 19:10:52 EEST 2024","Tests.E2ETest","E2E Test","Tests.E2ETest","completeE2ETest"
"","1427","login with blank fields","Parallel Testing Suite","Tue Oct 15 19:10:30 EEST 2024","passed","Tue Oct 15 19:10:31 EEST 2024","Tests.Login_InvalidLoginWithBlankFieldsTest","Login Page Tests","Tests.Login_InvalidLoginWithBlankFieldsTest","InValidBlankLogin"
"","1258","login with blocked account","Parallel Testing Suite","Tue Oct 15 19:10:40 EEST 2024","passed","Tue Oct 15 19:10:41 EEST 2024","Tests.Login_InvalidLoginWithBlockedAccountTest","Login Page Tests","Tests.Login_InvalidLoginWithBlockedAccountTest","BlockedLogin"
"","2340","invalidBlankFields","Parallel Testing Suite","Tue Oct 15 19:10:39 EEST 2024","passed","Tue Oct 15 19:10:42 EEST 2024","Tests.Checkout_InvalidBlankFields","Checkout Page Tests","Tests.Checkout_InvalidBlankFields","invalidBlankFields"
"","2527","Adding all items to cart","Parallel Testing Suite","Tue Oct 15 19:10:19 EEST 2024","passed","Tue Oct 15 19:10:22 EEST 2024","Tests.Inventory_AddingAllItemsToCartTest","Inventory Page Tests","Tests.Inventory_AddingAllItemsToCartTest","AddAllItemsToCart"
"","2352","Verify number of items in cart after random adding","Parallel Testing Suite","Tue Oct 15 19:10:20 EEST 2024","passed","Tue Oct 15 19:10:22 EEST 2024","Tests.Cart_CheckIfItemsOnCartEqualsRandomNumber","Cart Page Tests","Tests.Cart_CheckIfItemsOnCartEqualsRandomNumber","checkIfItemsOnCartEqualsRandomNumber"
"","4057","checkTotalPriceWithRandomItems","Parallel Testing Suite","Tue Oct 15 19:10:47 EEST 2024","passed","Tue Oct 15 19:10:51 EEST 2024","Tests.Overview_CheckTotalWithRandomItems","Overview Page Tests","Tests.Overview_CheckTotalWithRandomItems","checkTotalPriceWithRandomItems"
